"""Steff""",  Stefanie Oxmann Mcgaha, Night of the Demons, 2009, Goth raver, )  (uncredited
Goff,  Mary, Welcome to My Darkside!, 2009, Herself, 
Thompson,  Julie, The Shrink, ????, Janet, 
, 'La Mueque', Los tarantos, 1963, Cantaor, 
Castro,  Maria Tereza," ""La granja tolima""", 2004, Herself, 
,  Cristina, El secreto de la Veneno, 1997, , 
, 	," ""Aqu� hay tomate""", 2003, Herself, ) {(2006-10-11
Johnson,  Melanie, Shining Spirit, 2017, Memory, 
'Mickey''Brown,  Eleanor, Broads & Bombers; a Wartime Experiment in Manpower, 2016, Herself, 
, 'Misschiviss, Portland Hip Hop: Lifting as We Climb, 2016, Herself, 
'Noble Julz'Hamilton,  Ulia, StudZmen, 2013, Deacon, )  (as Noble Julz
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#1.10
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#1.2
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#1.7
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#1.9
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#2.2
, 	," ""Between Women""", 2011, Brooke Scott, ) {(#2.4
, 	," ""Between Women""", 2011, Brooke Scott, ) {Bloody Hands (#4.1
, 	," ""Between Women""", 2011, Brooke Scott, ) {I Can't Believe You! (#1.4





, 	, Criss Cross, 2010, Annie, 
, 	, Magistratus: Overtura, 2012, Naneke, ) (V
, 	, Splitter, 2011, Kidnapped Girl, /I
, 	, Tweeduizendseks, 2010, Yolanda van der Graaf, ) (TV
'sGravemade,  Nienke, Three Is the Perfect Number, 2017, Lois, 
Greene,  Elisa," ""BoS: Knights"" (2019)  [8", 2019, , 
't Hart,  Josine, De nieuwe moeder, 1996, Vrouw in trein, 


, 	," ""Aspe""", 2004, Juliette De Baetselier, ) {De architect - Deel 2 (#6.13
't Seyen,  Hilda, De moedige bruidegom, 1952, De moeder van Tinneke, 
Listenbee,  Shacetta, South of Sanity, 2016, Frita Clark, ) (TV
Durham,  Neva, Magazine Issues, 2016, Mrs. Peters, 
Williams,  Toni, Welcome to Slab City, 2012, Herself, 
Harris,  Tymisha, Blood of the Tribades, 2016, The Great One, 
, 	, The Blood Is the Life, 2017, Herself (The Blood is the Life!), 
Bird,  Tracy," ""Casting Qs""", 2010, Herself, ) {An Interview with Tracy 'Twinkie' Byrd (#2.14)}  (as Twinkie Byrd















, 	, Party Girls, 2016, , 








, 	," ""Davno ne videlis""", 2011, Themselves, ) {(#1.15)}  (uncredited
, 	," ""Davno ne videlis""", 2011, Themselves, ) {(#1.3)}  (uncredited
, 	," ""Davno ne videlis""", 2011, Themselves, ) {(#1.7)}  (uncredited
103,  Martha, Anna II, 2005, Anna II, 
10X,  Sharon," ""American Experience""", 1988, Herself - Nation of Islam, ) {Malcolm X: Make It Plain (#6.5
11,  College, Meus Pr�mios Nick 2012, 2012, Themselves, ) (TV
12 Elite Girls,  Die, Holzapfel wei� alles, 1932, T�nzer, 
18,  Alexa," ""Amateur Canada""", 2002, , 
18,  Rachel, Lightspeed University: Cheerleader Power, 2005, , 
1934 Goldwyn Girls,  The, Kid Millions, 1934, Show Girls, 
, 1988 Montclair Squad, Monster High, 1989, Cheerleaders, 
, 2 Shoes," ""Big Brother's Bit on the Side""", 2011, Themselves, ) {(2012-08-09
, 	," ""The X Factor""", 2004, Themselves - Auditionees, ) {Auditions 6 (#8.6
, 	," ""The X Factor""", 2004, Themselves - Contestants, ) {Judges' Houses 1 (#8.10
, 	," ""The X Factor""", 2004, Themselves - Performers, ) {Live Final (#10.31
, 	," ""The X Factor""", 2004, Themselves - Contestants, ) {Live Results Show 1 (#8.13
, 	," ""The X Factor""", 2004, Themselves - Contestants, ) {Live Show 6 (#8.22
, 	," ""The Xtra Factor""", 2004, Themselves, ) {(#8.11
, 	," ""The Xtra Factor""", 2004, Themselves, ) {(#8.13
, 	," ""The Xtra Factor""", 2004, Themselves, ) {(#8.9



, 	, Hercules: The Legendary Journeys - Die Yourself, 2006, Villager, 
, 2-Ply, Nice Shoes... Wanna Fuck?, 2012, Paparazzo, ) (V
, 	, This Ain't Cops XXX, 2010, Assistant, ) (V)  (as 2Ply




, 	," ""Move Like Michael Jackson""", 2009, Themselves - Contestants, ) {Auditions (#1.2
, 2ne1," ""America's Next Top Model""", 2003, Themselves, ) {Finale Part Two: America's Next Top Model Is... (#21.16)}  (as 2NE1

, 	," ""The X Factor""", 2011, Themselves - Contestant, ) {Judges' Home #2 (#1.8


, 	, 3LW: Live on Sunset, 2002, Themselves, ) (V)  (as 3LW
, 	, 4th Annual BET Awards, 2004, Themselves, ) (TV)  (as 3LW
, 	, BET Awards 2006, 2006, Themselves, ) (TV)  (as 3LW
, 	, Nickelodeon Kids' Choice Awards 2000, 2000, Themselves, ) (TV)  (as 3LW
, 	, The 17th Annual Soul Train Music Awards, 2003, Themselves, ) (TV)  (as 3LW
, 	," ""Diamond Life""", 2005, , 
, 	," ""Soul Train""", 1971, Themselves - Musical Guest, ) {DJ Quik/Naughty by Nature/3LW/Mario (#31.24)}  (as 3LW
, 	," ""The Rosie O'Donnell Show""", 1996, Themselves, ) {(2001-03-23)}  (as 3LW


, 	," ""Infernal Restraints""", 2006, , 
34D,  Mary, Fahrenheit 69, 2004, Liberated Iraqi #2, ) (V
38G,  Samantha, 2 Tons of Fun, 2010, , 
, 	, 2 Tons of Fun 4, 2014, , 
, 	, Big Bad Mamas, 2006, , 
, 	, Big Bad Mamas 7, 2007, , 
, 	, Big Tit Freaks 2, 2013, , 
, 	, Cream Filled Chubbies, 2012, , 
, 	, Evil Cuckold 6, 2012, Miss G, ) (V
, 	, Hot Sexy Plumpers 14, 2008, , 
, 	, Lesbian Love Connections, 2012, Samantha Anderson, ) (V
, 	, Mom Banged My Girlfriend, 2010, , 
, 	, My Friend's Hot Mom 42, 2014, , 
, 	, Raw 4, 2010, , 
, 	, Stacked & Packed Volume 2, 2001, , 
, 	, Voluptuous XL Xtra, 2002, , 
, 	, XL Girls: Home Alone, 2002, , 
, 	," ""Big Naturals""", 2001, , 
, 	," ""Big Naturals""", 2001, , 
, 	," ""Milf Soup""", 2007, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Plumper Pass""", 2006, , 
, 	," ""Scoreland""", 2007, , 
, 3am," ""Cut N' Dry Talent TV""", 2014, Themselves - Music Video, ) {(#1.5
, 3d," ""Star Search""", 1983, Themselves - Young Dancers, 
4 Ever,  Diamond, 18 and Nasty 18, 2000, , 
, 	, A Perverted Point of View, 2001, Diamond, ) (V
, 	, Blowjob Adventures of Dr. Fellatio 22, 2000, , 
, 	, Bruno B.: The World's Luckiest Guy 1, 2003, , 
, 	, Cumback Pussy 39, 2000, , 
, 	, Devil in Disguise, 2001, Envy, ) (V
, 	, Initiations 5, 2000, , 
, 	, North Pole #19, 2000, Diamond, ) (V
, 	, Sodomania Slop Shots 9, 2001, , 
, 	, World Sex Tour 25: Canada, 2001, Diamond 4 Ever, ) (V

, 	, 50 Most Awesomely Bad Songs... Ever, 2004, Themselves, ) (TV)  (archive footage
, 	," ""Late Night with Conan O'Brien""", 1993, Themselves - Musical Guest, ) {(#1.23
, 	," ""Top of the Pops""", 1964, , 
, 	," ""Tu cara me suena - Argentina""", 2013, Themselves, ) {(#3.21)}  (archive footage
, 40 B.A.R.R.S.," ""RapFix Live""", 2010, Herself, ) {Troy Ave, Wu-Tang (#4.35
, 412," ""Hardtied""", 2005, , 
, 	," ""TopGrl""", 2009, , 
, 	," ""TopGrl""", 2009, , 
, 4Magic," ""X Factor: Bulgaria""", 2013, Themselves, ) {Week 1: Big Hits (#5.1
, 	," ""X Factor: Bulgaria""", 2013, Themselves, ) {Week 3: Bulgarian Hits (#5.3
, 	," ""X Factor: Bulgaria""", 2013, Themselves, ) {Week 5: Movie Night (#5.5

, 	," ""Infinite Challenge""", 2005, Themselves - Guest, ) {(#4.366
, 	," ""Weekly Idol""", 2011, Themselves, ) {(#1.141
, 	," ""Weekly Idol""", 2011, Themselves, ) {(#1.43
, 	," ""Weekly Idol""", 2011, Themselves, ) {(#1.88
, 	," ""Weekly Idol""", 2011, Themselves, ) {100th Episode Special, Part 1 (#1.100
, 	," ""Weekly Idol""", 2011, Themselves, ) {Weekly Idol 3rd Anniversary, Part 2 (#1.157
, 4th Impact," ""Pinoy Idol""", 2008, Themselves - Guest, ) {Auditions: Metro Manila (#1.4)}  (as The Cercado Sisters
, 	," ""The X Factor""", 2004, Themselves - Contestants, ) {Bootcamp 1 (#12.8)}  (as 4th Power
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Judges' Houses 1 (#12.13)}  (as 4th Power
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Live Results Show 1 (#12.16
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Live Results Show 3 (#12.20
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Live Results Show 5 (#12.24
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Live Show 2 (#12.17
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Live Show 4 (#12.21
, 	," ""The X Factor""", 2004, Themselves - Contestant, ) {Six-Chair Challenge 2 (#12.11)}  (as 4th Power
, 	," ""The Xtra Factor""", 2004, Themselves - Auditionee, ) {Auditions 1 (#12.1)}  (uncredited

, 	," ""House of Gord""", 2001, , 



, 	, Toast with the Gods, 1995, The Lotus Eaters, 
7,  Lucky, Gendernauts - Eine Reise durch die Geschlechter, 1999, , 
, 	," ""Real Sex""", 1990, Herself, ) {Real Sex 26: Lessons in Love & Lust (#1.26
, 702, Beep Me 911, 1998, Plastic dolls, ) (V
, 	," ""All That""", 1994, Themselves - Musical Guest, ) {(#3.8
, 	," ""Sister"," Sister""", 1994, Themselves, ) {The Laws (#5.13
, 	," ""The Video Pool""", 1984, Themselves, ) {(#1.150)}  (archive footage
9,  Cat, Domina's Daydream, 2001, , 
9,  Kat, Brittany's Bitch Boyz 2, 2004, , 

, 	," ""Supertight Bondage Challenges""", 2010, , 
95,  Jardar, Amors baller, 2011, Jentelaget, 
, @You, Itazura kaseifu: Ijimete shibatte, 2007, , 
, 	, Yuuwaku kyoushi maruhi kyonyuu ressun, 2009, , 
, A qui Avec Gabriel, April's Shadows, 2013, Herself, 
a Tricoche,  Zoe, Littie Red White & Blue, 2009, , 
A'Alitaleb,  Suilma, Amor-Love, 2002, Zaida, 
A'Beckett,  Jean, Rover Makes Good, 1952, Aunt Jennie, 
A'Costa,  Mrs., The Mints of Hell, 1919, Tete, 
A'Court,  Michele, Happy Birthday 2 You, 2000, Herself, ) (TV
, 	, TV2 Big Comedy Gala, 2000, Host, ) (TV
, 	," ""7 Days""", 2009, Herself - Team Member, ) {(#1.11
, 	," ""7 Days""", 2009, Herself - Team Member, ) {(#2.13
, 	," ""7 Days""", 2009, Herself - Team 1 Member, ) {(#2.24
, 	," ""7 Days""", 2009, Herself - Team Member, ) {(#3.2
, 	," ""7 Days""", 2009, Herself - Team Member, ) {(#3.9
, 	," ""7 Days""", 2009, Herself - Team Member, ) {(#6.17
, 	," ""A Night at the Classic""", 2010, Guest Comedian, ) {(#2.3
, 	," ""Go Girls""", 2009, Miriam, ) {Pushing Buttons (#5.4
, 	," ""Pulp Comedy"" (1998)  [Herself", 1998, , 
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#17.191
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#17.235
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#17.245
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#18.24
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#18.45
, 	," ""Shortland Street""", 1992, Helen Carson, ) {(#18.76
, 	," ""Tamatoa the Brave Warrior""", 1998, , 
, 	," ""Tamatoa the Brave Warrior""", 1998, , 




, 	," ""Family Affairs""", 1949, Marion, ) {Henry Breaks the News (#1.1
, 	," ""Family Affairs""", 1949, Marion, ) {Linda and the Love Racket (#1.2
, 	," ""Family Affairs""", 1949, Marion, ) {Marion Digs for Gold (#1.4
, 	," ""Family Affairs""", 1949, Marion, ) {Tony Cultivates Some Swedes (#1.7
A'Hern,  Basia, Bitter & Twisted, 2008, Lisa Lombard, 
, 	, Good As New, 2010, Lilly, 
, 	, The Pact, 2003, Brittany Vickson, /III
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {A Star Is Born (#1.19
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {All Kings Together (#1.2
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Best Foot Forward (#1.14
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Dropped in It (#1.20
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Greg Scores a Goal (#1.4
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Happy Families (#1.11
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Jemma Makes Her Mark (#1.3
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Justice for All (#1.26
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Liar Liar (#1.18
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Suspicious Minds (#1.12
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {The Dingo Made Me Do It (#1.13
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {The Old Devil Music (#1.5
, 	," ""Don't Blame the Koalas""", 2002, Kate King, ) {Who's Who? (#1.25
, 	," ""Double Trouble""", 2008, Sasha, ) {Best Laid Plans (#1.3
, 	," ""Double Trouble""", 2008, Sasha, ) {Double Dancing (#1.11
, 	," ""Double Trouble""", 2008, Sasha, ) {Lost in the Desert (#1.7
, 	," ""Double Trouble""", 2008, Sasha, ) {Sand and Surf (#1.13)}  (archive footage
, 	," ""Double Trouble""", 2008, Sasha, ) {The First Test (#1.2
, 	," ""Double Trouble""", 2008, Sasha, ) {The Water Hole (#1.5)}  (credit only
, 	," ""Farscape""", 1999, Cyntrina, ) {...Different Destinations (#3.5
, 	," ""McLeod's Daughters""", 2001, Rose Hall, ) {A Spark from Heaven (#7.21
, 	," ""McLeod's Daughters""", 2001, Rose Hall, ) {Betwixt and Between (#5.24
, 	," ""McLeod's Daughters""", 2001, Rose Hall-Smith, ) {Guess Who's Coming to Dinner? (#6.27
, 	," ""McLeod's Daughters""", 2001, Rose Hall-Smith, ) {Leaving the Nest (#7.20
, 	," ""McLeod's Daughters""", 2001, Rose Hall-Smith, ) {Old Wrongs (#6.25
, 	," ""McLeod's Daughters""", 2001, Rose Hall, ) {Out of Time (#5.23
, 	," ""McLeod's Daughters""", 2001, Rose Hall-Smith, ) {The Long Paddock (#8.22
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.100
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.103
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.105
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.114
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.119
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.122
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.127
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.129
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.2
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.24
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.33
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.35
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.38
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.4
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.41
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.44
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.48
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.54
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.58
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.64
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.70
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.74
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.78
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.84
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.89
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.93
, 	," ""Out of the Blue""", 2008, Lucia Jones, ) {(#1.99
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Beach Hut (#1.3
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Car Wash (#1.11
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Election (#1.15
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Family Ties (#1.18
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Fight for Kenny (#1.13
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Greek Sleepover (#1.22
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Horseback (#1.17
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Outdoor Trip (#1.12
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Price of Success (#1.23
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Shoot to Win (#1.16
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Swim Carnival (#1.10
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {The Winning Ticket (#1.20
, 	," ""The Sleepover Club""", 2003, Lydnsey 'Lyndz' Collins, ) {Trapped (#1.24


, 	, Studio Gangster, 2016, Ms Nae, 
A'Leur,  Aurora, Brew City Bombshells Burlesque, 2011, Aurora A'Leur, 
A'Moore,  Erin, Submerge: Ni're Reborn, 2015, Ni're, 
A'mora,  A'Lex," ""Class N Session""", 2017, Vanessa Hardison," ) {""Meet Kaitlyn Johnson"" (#1.1)}  (as Alex Augustus"
A'ngelique,  J'avona, Echoes, 2010, Jesse, /III
, 	, Pocket Full of Gold, 2009, Cowgirl, 
A'Shayla,  Omonigho," ""On the Scene Web Series""", 2015, Herself, ) {You Ain't Called, Texted, Nothing... (#3.3
A'Virmond,  Tatiana, How to Dance Through Time, Vol III: The Majesty of Renaissance Dance, 2003, Herself, ) (V
A,  Isabelle, Sterrencircus, 1991, Herself, ) (TV
, 	," ""De foute quiz""", 2007, Herself - Team Captain, ) {(#1.2
, 	," ""De foute quiz""", 2007, Herself - Team Captain, ) {(#1.4
, 	," ""De foute quiz""", 2007, Herself - Team Captain, ) {(#1.6
, 	," ""De foute quiz""", 2007, Herself - Team Captain, ) {(#1.8
, 	," ""De kotmadam""", 1991, Herself, ) {Isabelle (#7.8
, 	," ""Gaston & Leo"," Comedy Toppers""", 2010, , 
, 	," ""Het swingpaleis""", 1996, Herself, ) {(2006-03-24
, 	," ""TV Tam Tam""", 1987, Isabelle, ) {Pestering (#2.6)}  (as Isabelle Adam
, 	," ""Zo is er maar ��n""", 2006, Herself - Jury, ) {De nummer 1 (#4.2


, 	, Especial Nochevieja 1996: Somos la primera, 1997, Herself, ) (TV)  (as Ella Baila Sola
, 	, Gala Miss Espa�a 1997, 1997, Herself, ) (TV)  (as Ella Baila Sola
, 	, Gala TP de Oro 1998, 1999, Herself, ) (TV)  (as Ella Baila Sola
, 	, II edici�n de los 'Premios de la m�sica', 1998, Herself, ) (TV)  (as Ella Baila Sola
, 	, Miss Espa�a 2001, 2001, Herself, ) (TV)  (as Ella Baila Sola
, 	, Por El Salvador, una noche solidaria, 2001, Herself, ) (TV)  (as Ella Baila Sola
, 	, Premios Amigo 98, 1998, Herself, ) (TV)  (as Ella Baila Sola
, 	," ""Aix� no �s tot!""", 1996, Herself, ) {(1996-10-21)}  (as Ella Baila Sola
, 	," ""Continuar�...""", 1996, Herself, ) {(1999-01-16)}  (as Ella Baila Sola
, 	," ""De domingo a domingo""", 1997, Herself, ) {(1997-12-14)}  (as Ella Baila Sola
, 	," ""Furor""", 1998, Herself, /I) {(1998-12-19)}  (as Ella Baila Sola
, 	," ""Hoy es posible""", 1997, Herself, ) {(1997-07-01)}  (as Ella Baila Sola
, 	," ""La noche abierta""", 1997, Herself, ) {(2001-02-22)}  (as Ella Baila Sola
